Number of Vertices,"Dijkstra Time (Sparse, nanoseconds)","A* Time (Sparse, nanoseconds)","Dijkstra Time (Dense, nanoseconds)","A* Time (Dense, nanoseconds)"
100,452799.95538294315,157000.03132224083,1656599.9248996377,614300.0209704041
200,1662999.9736323953,402500.03803521395,6541199.98216629,2117800.060659647
300,3552999.929524958,4259100.0674292445,20007599.96008128,306200.0032514334
400,6533500.039950013,1967199.961654842,42578799.99931902,45008299.98869449
500,9803800.02874881,14919099.980033934,75088000.04143268,7816100.027412176
600,19463700.00950992,28050199.965946376,104574700.00255853,56511399.91823584
700,29244800.098240376,13724500.080570579,140281600.06273538,41719699.976965785
800,38657500.059343874,26179800.04288256,184247300.02880096,158408799.9071926
900,46484100.05029291,13057000.003755093,241041800.00722408,222533999.9422431
1000,59426299.994811416,18124299.9387905,293322199.9555826,208029199.97368008
